5910212,725
5911032,723
5911736,723
5912440,723
5913152,722
5913852,723
5924092,723
5937612,724
5951132,725
5964652,725
5978172,723
5991692,721
6005212,718
6018732,711
6032252,700
6045772,675
6059292,642
6072812,626
6086332,633
6099852,654
6113372,658
6126892,666
6140412,700
6153932,721
6167452,727
6180972,732
6194492,746
6208012,754
6221532,749
6235052,741
6248572,736
6262092,732
6275612,724
6289132,720
6302652,720
6316172,712
6329692,691
6343212,630
6356732,546
6370252,830
6383772,845
6397292,675
6410812,866
6424332,828
6437852,1014
6452412,1017
6466972,998
6480492,934
6494012,855
6507540,781
6521052,712
6534572,630
6548092,471
6561612,221
6575140,134
6588652,61
6601132,538
6614652,301
6628172,580
6641700,895
6655212,611
6668732,896
6682252,1012
6696812,999
6710332,975
6723852,920
6737372,861
6750892,811
6764412,765
6777932,728
6791452,688
6804972,612
6818492,464
6832012,57
6844492,367
6858012,226
6871532,485
6885052,274
6898572,473
6912092,892
6925612,728
6939132,790
6952652,1013
6967212,1002
6981772,989
6995292,952
7008812,899
7022332,832
7035852,759
7049372,671
7062892,520
7076412,59
7088892,259
7102412,54
7114892,73
7127372,701
7140892,930
7154412,960
7167932,1021
7182492,1017
7197052,978
7210572,882
7224092,735
7237612,353
7251132,43
7263612,42
7276092,55
7288572,424
7302092,890
7315612,1021
7330172,1019
7344732,981
7358252,873
7371772,715
7385292,357
7398812,51
7411292,51
7423772,63
7436252,341
7449772,606
7463292,758
7476812,1022
7491372,1017
7505940,967
7519452,879
7532972,788
7546492,685
7560012,453
7573540,98
7586012,57
7598492,75
7610972,106
7624492,526
7638012,771
7651532,788
7665052,834
7678572,1014
7693132,1012
7707692,999
7721212,952
7734732,884
7748252,826
7761772,783
7775292,745
7788812,706
7802332,659
7815852,588
7829372,418
7842892,290
7856412,240
7869932,253
7883452,318
7896972,592
7910492,383
7924012,739
7937532,721
7951052,812
7964572,747
7978092,1016
7992652,1014
8007212,997
8020732,947
8034252,874
8047772,806
8061292,749
8074812,697
8088332,619
8101852,487
8115372,257
8128892,54
8141372,172
8154892,462
8168412,457
8181932,312
8195452,914
8208972,854
8222492,1000
8237052,1009
8251612,992
8265132,948
8278652,885
8292172,826
8305700,773
8319212,721
8332732,665
8346252,582
8359772,421
8373292,186
8386812,403
8400332,132
8413852,379
8427372,263
8440892,641
8454412,834
8467932,696
8481452,975
8494972,995
8508492,999
8522012,984
8535532,943
8549052,882
8562572,825
8576092,775
8589612,732
8603132,698
8616652,655
8630172,570
8643692,382
8657212,54
8669692,425
8683212,60
8695692,505
8709212,425
8722732,550
8736252,775
8749772,864
8763292,981
8776812,991
8790332,1001
8804892,991
8818412,958
8831932,895
8845452,825
8858972,765
8872492,709
8886012,641
8899532,535
8913052,336
8926572,56
8939052,180
8952572,384
8966092,198
8979612,452
8993132,710
9006652,377
9020172,987
9033692,839
9047212,988
9060732,1001
9075292,1002
9089852,983
9103380,929
9116892,865
9130412,812
9143932,768
9157452,720
9170980,678
9184492,589
9198012,386
9211532,59
9224012,49
9236500,407
9250012,65
9262492,747
9276012,654
9289532,658
9303060,980
9316572,827
9330092,1017
9344652,1016
9359212,989
9372732,921
9386252,844
9399772,780
9413292,718
9426812,644
9440332,425
9453852,62
9466332,49
9478812,213
9492332,332
9505852,285
9519372,850
9532892,874
9546412,851
9559932,986
9573452,1015
9588012,1012
9602572,974
9616092,898
9629612,826
9643132,768
9656652,714
9670172,656
9683692,568
9697212,423
9710732,264
9724252,127
9737772,54
9750252,660
9763772,58
9776252,848
9789772,623
9803292,756
